Ad_ID,Ad_URL,Ad_Type
CR26925940252606464,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR26925940252606464,Text
CR269288333425770496,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR269288333425770496,Text
CR269534624030392320,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR269534624030392320,Text
CR270027205239635968,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR270027205239635968,Text
CR270086578867535872,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR270086578867535872,Text
CR270196736188743680,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR270196736188743680,Text
CR270222024956182528,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR270222024956182528,Text
CR270273495844257792,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR270273495844257792,Text
CR270895819425579008,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR270895819425579008,Text
CR271339541086863360,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR271339541086863360,Text
CR271460968402255872,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR271460968402255872,Text
CR271632148618805248,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR271632148618805248,Text
CR271738801246699520,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR271738801246699520,Text
CR271823807239421952,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR271823807239421952,Text
CR271963101618765824,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR271963101618765824,Text
CR272030171828060160,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR272030171828060160,Text
CR272056903704510464,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR272056903704510464,Text
CR272067898820788224,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR272067898820788224,Text
CR272109336665260032,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR272109336665260032,Text
CR272161013711765504,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR272161013711765504,Text
CR272593121781481472,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR272593121781481472,Text
CR27277783973494784,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR27277783973494784,Text
CR273005438641897472,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR273005438641897472,Text
CR273169265874436096,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR273169265874436096,Text
CR273226028162220032,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR273226028162220032,Text
CR273708713766813696,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR273708713766813696,Text
CR273789390432501760,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR273789390432501760,Text
CR274016233425207296,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR274016233425207296,Text
CR274214145518206976,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR274214145518206976,Text
CR274352340385923072,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR274352340385923072,Text
CR274357082029817856,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR274357082029817856,Text
CR274501873967300608,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR274501873967300608,Text
CR274568188262350848,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR274568188262350848,Text
CR274844921595166720,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR274844921595166720,Text
CR274918588874227712,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR274918588874227712,Text
CR274985659083522048,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR274985659083522048,Text
CR27507581903699968,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR27507581903699968,Text
CR275689346525298688,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR275689346525298688,Text
CR275762257890115584,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR275762257890115584,Text
CR275764456913371136,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR275764456913371136,Text
CR275790845192437760,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR275790845192437760,Text
CR27595886431305728,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR27595886431305728,Text
CR275960925897359360,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR275960925897359360,Text
CR276031294641537024,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR276031294641537024,Text
CR276044488781070336,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR276044488781070336,Text
CR276107710699667456,https://transparencyreport.google.com/political-ads/library/advertiser/AR89517838687010816/creative/CR276107710699667456,Text
