Ad_ID,Ad_URL,Ad_Type
CR519670839289839616,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR519670839289839616,Text
CR52000165485084672,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR52000165485084672,Text
CR520515264219971584,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR520515264219971584,Text
CR521641164126814208,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR521641164126814208,Text
CR522098560963969024,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR522098560963969024,Text
CR523316544969637888,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR523316544969637888,Text
CR523892963940499456,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR523892963940499456,Text
CR525863288777474048,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR525863288777474048,Text
CR526338277800673280,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR526338277800673280,Text
CR526760490265739264,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR526760490265739264,Text
CR528614266870169600,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR528614266870169600,Text
CR529086781992206336,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR529086781992206336,Text
CR531316866451243008,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR531316866451243008,Text
CR531827039846531072,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR531827039846531072,Text
CR532829794451062784,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR532829794451062784,Text
CR533174628785324032,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR533174628785324032,Text
CR534188515945086976,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR534188515945086976,Text
CR534294069061353472,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR534294069061353472,Text
CR534835303660126208,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR534835303660126208,Text
CR5352285165060096,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR5352285165060096,Text
CR535800262552453120,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR535800262552453120,Text
CR536189901985546240,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR536189901985546240,Text
CR536840812869189632,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR536840812869189632,Text
CR537115278459273216,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR537115278459273216,Text
CR537597276869099520,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR537597276869099520,Text
CR537621466124910592,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR537621466124910592,Text
CR537685237799321600,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR537685237799321600,Text
CR537847690642325504,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR537847690642325504,Text
CR538037081520209920,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR538037081520209920,Text
CR53851468188352512,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR53851468188352512,Text
CR539620378264207360,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR539620378264207360,Text
CR540828878982086656,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR540828878982086656,Text
CR540974976589627392,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR540974976589627392,Text
CR541397189054693376,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR541397189054693376,Text
CR541731440589537280,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR541731440589537280,Text
CR545197101240287232,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR545197101240287232,Text
CR545848012123930624,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR545848012123930624,Text
CR545900788682063872,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR545900788682063872,Text
CR546438449868046336,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR546438449868046336,Text
CR546903543286595584,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR546903543286595584,Text
CR547248652498763776,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR547248652498763776,Text
CR548486840030593024,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR548486840030593024,Text
CR549137750914236416,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR549137750914236416,Text
CR549161940170047488,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR549161940170047488,Text
CR550967338262855680,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR550967338262855680,Text
CR551413739983732736,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR551413739983732736,Text
CR554081155192717312,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR554081155192717312,Text
CR55524924885827584,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR55524924885827584,Text
CR55645871164882944,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR55645871164882944,Text
CR556544061238935552,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR556544061238935552,Text
CR556808768663322624,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR556808768663322624,Text
CR556860720587735040,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR556860720587735040,Text
CR557192360782462976,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR557192360782462976,Text
CR55800077670678528,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR55800077670678528,Text
CR560613491212288,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR560613491212288,Text
CR560843151703539712,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR560843151703539712,Text
CR564636466819366912,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR564636466819366912,Text
CR565164232400699392,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR565164232400699392,Text
CR565551260493676544,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR565551260493676544,Text
CR565744774540165120,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR565744774540165120,Text
CR566290132307542016,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR566290132307542016,Text
CR566888266633052160,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR566888266633052160,Text
CR567064188493496320,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR567064188493496320,Text
CR56806955443814400,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR56806955443814400,Text
CR568366010260783104,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR568366010260783104,Text
CR56838016647299072,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR56838016647299072,Text
CR571624687847604224,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR571624687847604224,Text
CR572904794260242432,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR572904794260242432,Text
CR574276984771706880,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR574276984771706880,Text
CR574611236306550784,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR574611236306550784,Text
CR574714178082701312,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR574714178082701312,Text
CR575002387568132096,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR575002387568132096,Text
CR575222427332640768,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR575222427332640768,Text
CR575431334541918208,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR575431334541918208,Text
CR59001855530762240,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR59001855530762240,Text
CR59164308373766144,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR59164308373766144,Text
CR59353699251650560,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR59353699251650560,Text
CR61148102228180992,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR61148102228180992,Text
CR62717929954738176,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR62717929954738176,Text
CR65651701855551488,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR65651701855551488,Text
CR66742417390305280,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR66742417390305280,Text
CR66805776747855872,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR66805776747855872,Text
CR67551657948348416,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR67551657948348416,Text
CR70401592087543808,https://transparencyreport.google.com/political-ads/library/advertiser/AR276637125548441600/creative/CR70401592087543808,Text
