Ad_ID,Ad_URL,Ad_Type
CR444620649479012352,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444620649479012352,Image
CR444622848502267904,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444622848502267904,Image
CR444640440688312320,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444640440688312320,Image
CR444642639711567872,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444642639711567872,Image
CR444655833851101184,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444655833851101184,Image
CR444677824083656704,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444677824083656704,Image
CR444691018223190016,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444691018223190016,Image
CR444693217246445568,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444693217246445568,Image
CR444732799665045504,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444732799665045504,Image
CR444781178176667648,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444781178176667648,Image
CR444798495484805120,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444798495484805120,Image
CR444803168409223168,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444803168409223168,Image
CR444816362548756480,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444816362548756480,Image
CR44481979852259328,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR44481979852259328,Image
CR444831755711545344,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444831755711545344,Image
CR444833954734800896,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444833954734800896,Image
CR4448761484935168,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR4448761484935168,Image
CR444904323478978560,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444904323478978560,Image
CR444921915665022976,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444921915665022976,Image
CR444957100037111808,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444957100037111808,Image
CR444959299060367360,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444959299060367360,Image
CR444994483432456192,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR444994483432456192,Image
CR445014274641756160,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR445014274641756160,Image
CR44505894230163456,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR44505894230163456,Image
CR44506169108070400,https://transparencyreport.google.com/political-ads/library/advertiser/AR25446822235340800/creative/CR44506169108070400,Image
