Ad_ID,Ad_URL,Ad_Type
CR81629804830392320,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR81629804830392320,Text
CR8164835908911104,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR8164835908911104,Text
CR81770542318747648,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR81770542318747648,Text
CR81911279807102976,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR81911279807102976,Text
CR82052017295458304,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR82052017295458304,Text
CR82192754783813632,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR82192754783813632,Text
CR83318654690656256,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR83318654690656256,Text
CR83402698610704384,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR83402698610704384,Text
CR83817558091759616,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR83817558091759616,Text
CR84079997773414400,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR84079997773414400,Text
CR84444554597498880,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR84444554597498880,Text
CR846486514434048,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR846486514434048,Text
CR85007504550920192,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR85007504550920192,Text
CR85567155969458176,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR85567155969458176,Text
CR85616771431661568,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR85616771431661568,Text
CR85970676736851968,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR85970676736851968,Text
CR86076710889455616,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR86076710889455616,Text
CR86274141946118144,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR86274141946118144,Text
CR86555616922828800,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR86555616922828800,Text
CR86613272563810304,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR86613272563810304,Text
CR87118566876250112,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR87118566876250112,Text
CR87387328749764608,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR87387328749764608,Text
CR87544765070966784,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR87544765070966784,Text
CR87818955783143424,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR87818955783143424,Text
CR88047035726430208,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR88047035726430208,Text
CR88385204271448064,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR88385204271448064,Text
CR88635480605720576,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR88635480605720576,Text
CR89032198144917504,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR89032198144917504,Text
CR89076178610028544,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR89076178610028544,Text
CR8926178991669248,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR8926178991669248,Text
CR89428022330916864,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR89428022330916864,Text
CR89511104178290688,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR89511104178290688,Text
CR89651841666646016,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR89651841666646016,Text
CR89829344075055104,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR89829344075055104,Text
CR9009260839043072,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR9009260839043072,Text
CR90214791620067328,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR90214791620067328,Text
CR90777741573488640,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR90777741573488640,Text
CR90932154237714432,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR90932154237714432,Text
CR91116872191180800,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR91116872191180800,Text
CR92185116457041920,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR92185116457041920,Text
CR92313140842201088,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR92313140842201088,Text
CR92322555410513920,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR92322555410513920,Text
CR92679621811634176,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR92679621811634176,Text
CR92691372842156032,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR92691372842156032,Text
CR92748066410463232,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR92748066410463232,Text
CR9278022712557568,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR9278022712557568,Text
CR92888803898818560,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR92888803898818560,Text
CR93011536884269056,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR93011536884269056,Text
CR93029541387173888,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR93029541387173888,Text
CR93170278875529216,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR93170278875529216,Text
CR93347437686554624,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR93347437686554624,Text
CR93873966317305856,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR93873966317305856,Text
CR94296178782371840,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR94296178782371840,Text
CR94520960190775296,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR94520960190775296,Text
CR95281341200859136,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR95281341200859136,Text
CR95295016376729600,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR95295016376729600,Text
CR95831578051084288,https://transparencyreport.google.com/political-ads/library/advertiser/AR128018337845215232/creative/CR95831578051084288,Text
